Name,Team,Position,Games,FGM,FGA,FTM,FTA,Rebounds,Assists,Steals,Blocks,TO,Points
Anthony Tolliver,,SF PF,29,22.1,74.2,17.1,21.1,50.2,16,7,7,10,78.2
P.J. Tucker,PHI,PF,74,174.5,411.2,43.1,55.2,373.1,136.4,59.2,21.1,63.2,470.4
T.J. Warren,BKN,SF PF,61,328,612.8,104.3,126.4,186.6,66.2,46.1,19.1,51.2,817.4
Rudy Gay,UTA,PF C,66,192.6,451.4,74.2,90.3,279.8,66.2,30.1,26.1,58.2,531.6
DeMarcus Cousins,,C,29,55.2,124.4,30.1,39.1,91.3,30.1,13,11,25.1,154.5
Ben McLemore,,SG PG,79,144.4,357.1,42.1,53.2,106.3,35.1,22.1,8,31.1,444.3
Serge Ibaka,MIL,C,58,151.5,298.9,35.1,47.1,251.8,46.1,12,32.1,43.1,369.1
Steven Adams,MEM,C,77,233.7,400.2,97.3,185.6,731.2,234.7,70.2,67.2,109.3,567.7
Russell Westbrook,LAL,PG,77,456.4,1010,222.7,320,465.4,445.3,63.2,19.1,239.7,1197.6
Reggie Jackson,LAC,SG PG,75,387.2,926.8,110.3,132.4,244.7,293.9,49.1,13,136.4,1024.1
Jeremy Lamb,,SG SF,69,221.7,523.6,122.4,138.4,264.8,99.3,59.2,33.1,44.1,635.9
Kevin Durant,BKN,SF PF,68,688.1,1303.9,441.3,491.5,479.4,404.2,58.2,65.2,227.7,1962.9
Will Barton,WAS,SG SF,73,361.1,824.5,114.3,144.4,326,257.8,54.2,28.1,120.4,974.9
Reggie Bullock,DAL,SG SF PF,73,236.7,570.7,50.2,58.2,239.7,96.3,50.2,13,63.2,693.1
Ish Smith,DEN,PG,65,163.5,374.1,23.1,36.1,130.4,214.6,41.1,17.1,64.2,376.1
Robert Covington,LAC,PF,73,186.6,450.3,53.2,65.2,361.1,87.3,90.3,78.2,70.2,541.6
Hassan Whiteside,,C,69,208.6,341,82.2,135.4,518.6,41.1,20.1,90.3,72.2,499.5
Langston Galloway,,SG PG,29,56.2,126.4,18.1,20.1,37.1,22.1,8,0,7,166.5
Tyler Johnson,,SG PG,29,52.2,133.4,19.1,21.1,45.1,37.1,8,7,15,149.4
Seth Curry,BKN,SG SF,71,330,683,85.3,98.3,183.5,203.6,48.1,12,98.3,898.7
James Nunnally,,SF PF,29,10,23.1,6,7,7,7,0,0,0,33.1
Richaun Holmes,SAC,C,66,250.8,387.2,96.3,121.4,426.3,65.2,27.1,57.2,75.2,599.8
Jahlil Okafor,,PF C,29,53.2,85.3,18.1,25.1,72.2,15,6,8,15,124.4
Kelly Oubre Jr.,CHA,SF PF,75,384.1,865.6,161.5,225.7,316.9,84.3,75.2,34.1,70.2,1104.3
Frank Kaminsky,ATL,C,47,114.3,248.7,41.1,63.2,168.5,56.2,17.1,15,24.1,292.9
Josh Richardson,SA,SG PG,68,229.7,531.6,94.3,107.3,181.5,129.4,54.2,24.1,66.2,646.9
Justise Winslow,POR,SG SF PF,63,160.5,412.2,54.2,87.3,282.8,115.3,45.1,33.1,74.2,397.2
Willy Hernangomez,NO,C,64,181.5,337,93.3,135.4,342,63.2,22.1,20.1,48.1,460.4
